sha1,message
# A new update is available!
02b440ec9035c83248e2bd6d25846831291bd800,"Eine neue Aktualisierung ist verfügbar!"
# sun
22fa6121da96f43a106e413e65d4f9089c53824c,"Sonne"
# mars
44a07a1c8cc71de0e980dba3aca732b752fa1df5,"Mars"
# moon
46dcd4dd65b63d106b8cfb4aad906b23716cc613,"Mond"
# Enjoy your astronomical calendar!
634eb6c698895ff625b86be9b0eaeff88f915247,"Der astronomische Jahreskalender ist fertig!"
# Unable to load latest release-data from GitHub...
6c610b3e5291e89e763f7b422f8d21b8d04b8413,"Konnte die Daten der letzten Veröffentlichung nicht laden..."
# Are you using this project as an early bird? -> nothing released yet...
89c691b76bbb3460b89ade32887dbcd16306a6fd,"Nutzt du das Projekt als früher Vogel? -> noch gibt es keine Veröffentlichungen..."
# uranus
8c572ab1e875c52d2e75ec4c7c5231854860b383,"Uranus"
# jupiter
a2f7fcb5afeb7983ffbb6ce3d1a7e91edf321350,"Jupiter"
# saturn
a684248598a590e37dd16686c8022b880a9a63d9,"Saturn"
# Writing output to %s
a9b991f183c16bd07847297e2caed0a2ba644e4c,"Speichere Ergebnis unter %s"
# venus
c8721b651877e875de2bb1e7a1f0988806e26562,"Venus"
# You have the latest version installed.
d1858b6c6bb4a62acec7be64e870a3d3505d1b47,"Du hast die aktuellste Version installiert."
# Latest version:  %s
d953c8daf094dea9d159896f73baf3e0829bfad9,"Neueste Version:      %s"
# neptune
de9b8956facf944418635dace446763de9f2b4fb,"Neptun"
# Current version: %s
df3a9c2948073b2dec8be3483f1112d480ae5dc1,"Installierte Version: %s"
# mercury
f3aa85ef72957869464b16e655dc3632217bb8d4,"Merkur"
# Wait, are you currently developing?
f77be3faff9e5f518fcda68621906d34e0fc4bbe,"Warte mal, entwickelst du gerade?"
