sha1,message
# sun
22fa6121da96f43a106e413e65d4f9089c53824c,"sun"
# mars
44a07a1c8cc71de0e980dba3aca732b752fa1df5,"mars"
# moon
46dcd4dd65b63d106b8cfb4aad906b23716cc613,"moon"
# uranus
8c572ab1e875c52d2e75ec4c7c5231854860b383,"uranus"
# jupiter
a2f7fcb5afeb7983ffbb6ce3d1a7e91edf321350,"jupiter"
# saturn
a684248598a590e37dd16686c8022b880a9a63d9,"saturn"
# venus
c8721b651877e875de2bb1e7a1f0988806e26562,"venus"
# neptune
de9b8956facf944418635dace446763de9f2b4fb,"neptune"
# mercury
f3aa85ef72957869464b16e655dc3632217bb8d4,"mercury"
